# source: ClimateInAfrica
# timezone: GMT

# ---- Device 1 ----
# device-id: CIruVm9aOP
# latitude: 6.462167
# longitude: 3.551078
# type: weather station

date,temperature (°C),pressure (hPa),rain (mm/hr),humidity (%)
2025-06-22 00:00:00,26.97,1014.00,0.00,87.75
2025-06-22 01:00:00,27.08,1013.20,0.00,87.49
2025-06-22 02:00:00,27.13,1013.00,0.00,85.94
2025-06-22 03:00:00,27.29,1013.00,0.00,86.73
2025-06-22 04:00:00,27.08,1013.10,0.00,88.09
2025-06-22 05:00:00,27.10,1014.00,0.00,88.24
2025-06-22 06:00:00,27.21,1014.60,0.00,87.42
2025-06-22 07:00:00,27.14,1015.40,0.00,87.83
2025-06-22 08:00:00,26.63,1016.00,0.00,91.41
2025-06-22 09:00:00,26.59,1015.78,0.00,92.41
2025-06-22 10:00:00,28.08,1015.80,0.00,86.73
2025-06-22 11:00:00,30.43,1015.22,0.00,78.69
2025-06-22 12:00:00,31.27,1014.10,0.00,73.44
2025-06-22 13:00:00,31.65,1013.30,0.00,70.30
2025-06-22 14:00:00,31.28,1013.00,0.00,70.30
2025-06-22 15:00:00,30.51,1013.00,0.00,71.58
2025-06-22 16:00:00,30.01,1012.89,0.00,74.33
2025-06-22 17:00:00,29.35,1012.10,0.00,76.90
2025-06-22 18:00:00,27.83,1012.90,0.00,82.69
2025-06-22 19:00:00,27.72,1013.20,0.00,83.21
2025-06-22 20:00:00,27.54,1013.80,0.00,83.41
2025-06-22 21:00:00,27.27,1014.00,0.00,84.79
2025-06-22 22:00:00,27.09,1014.80,0.00,86.66
2025-06-22 23:00:00,27.05,1014.00,0.00,87.32
2025-06-23 00:00:00,27.02,1013.80,0.00,87.87
2025-06-23 01:00:00,26.91,1013.00,0.00,88.42
2025-06-23 02:00:00,26.78,1013.00,0.00,89.08
2025-06-23 03:00:00,26.64,1013.00,0.00,90.03
2025-06-23 04:00:00,26.53,1013.11,0.00,90.63
2025-06-23 05:00:00,26.40,1014.00,0.00,91.28
2025-06-23 06:00:00,27.71,1014.00,0.00,86.28
2025-06-23 07:00:00,29.92,1014.60,0.00,79.10
2025-06-23 08:00:00,31.45,1015.10,0.00,74.88
2025-06-23 09:00:00,31.43,1015.10,0.00,73.91
2025-06-23 10:00:00,33.14,1014.56,0.00,68.38
2025-06-23 11:00:00,31.57,1014.00,0.00,71.53
2025-06-23 12:00:00,33.07,1013.44,0.00,65.50
2025-06-23 13:00:00,33.50,1012.90,0.00,62.92
2025-06-23 14:00:00,31.62,1012.00,0.00,67.86
2025-06-23 15:00:00,31.75,1012.00,0.00,68.35
2025-06-23 16:00:00,30.34,1012.00,0.00,71.64
2025-06-23 17:00:00,29.42,1012.00,0.00,76.84
2025-06-23 18:00:00,28.70,1012.00,0.00,77.32
2025-06-23 19:00:00,28.39,1012.00,0.00,79.93
2025-06-23 20:00:00,28.32,1013.00,0.00,81.63
2025-06-23 21:00:00,28.41,1013.00,0.00,81.24
2025-06-23 22:00:00,28.31,1013.00,0.00,82.21
2025-06-23 23:00:00,28.16,1012.40,0.00,82.12
2025-06-24 00:00:00,27.87,1011.80,0.00,84.38
2025-06-24 01:00:00,27.81,1011.22,0.00,83.82
2025-06-24 02:00:00,27.66,1011.00,0.00,84.91
2025-06-24 03:00:00,27.45,1011.00,0.00,87.46
2025-06-24 04:00:00,27.00,1011.10,0.00,89.91
2025-06-24 05:00:00,26.98,1012.00,0.00,89.19
2025-06-24 06:00:00,27.83,1012.50,0.00,86.91
2025-06-24 07:00:00,30.84,1013.10,0.00,77.23
2025-06-24 08:00:00,31.23,1014.00,0.00,76.37
2025-06-24 09:00:00,31.51,1014.00,0.00,70.96
2025-06-24 10:00:00,32.53,1014.00,0.00,67.39
2025-06-24 11:00:00,31.60,1013.60,0.00,73.90
2025-06-24 12:00:00,32.88,1012.80,0.00,69.06
2025-06-24 13:00:00,33.89,1012.00,0.00,65.83
2025-06-24 14:00:00,32.37,1011.00,0.00,70.79
2025-06-24 15:00:00,32.30,1011.00,0.00,70.65
